Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Pre-edge peak fit (normalized),Sum of components (normalized)
2.898E+03,1.031E+00,3.300E-04,1.000E+00,1.475E-05,1.000E+00
2.899E+03,1.014E+00,3.211E-04,1.000E+00,1.438E-05,1.000E+00
2.900E+03,1.011E+00,3.128E-04,1.000E+00,1.404E-05,1.000E+00
2.901E+03,1.010E+00,3.045E-04,1.000E+00,1.370E-05,1.000E+00
2.902E+03,1.015E+00,2.967E-04,1.000E+00,1.337E-05,1.000E+00
2.903E+03,1.008E+00,2.892E-04,1.000E+00,1.306E-05,1.000E+00
2.904E+03,9.971E-01,2.820E-04,1.000E+00,1.275E-05,1.000E+00
2.905E+03,1.000E+00,2.750E-04,1.000E+00,1.246E-05,1.000E+00
2.906E+03,9.903E-01,2.683E-04,1.000E+00,1.218E-05,1.000E+00
2.907E+03,1.002E+00,2.619E-04,1.000E+00,1.191E-05,1.000E+00
2.908E+03,9.888E-01,2.556E-04,1.000E+00,1.164E-05,1.000E+00
2.909E+03,9.929E-01,2.496E-04,1.000E+00,1.139E-05,1.000E+00
2.910E+03,9.859E-01,2.438E-04,1.000E+00,1.114E-05,1.000E+00
2.911E+03,9.888E-01,2.381E-04,1.000E+00,1.090E-05,1.000E+00
2.912E+03,9.862E-01,2.328E-04,1.000E+00,1.067E-05,1.000E+00
2.913E+03,9.930E-01,2.275E-04,1.000E+00,1.044E-05,1.000E+00
2.914E+03,9.959E-01,2.224E-04,1.000E+00,1.022E-05,1.000E+00
2.915E+03,9.850E-01,2.176E-04,1.000E+00,1.002E-05,1.000E+00
2.916E+03,1.001E+00,2.128E-04,1.000E+00,9.810E-06,1.000E+00
2.917E+03,1.005E+00,2.082E-04,1.000E+00,9.614E-06,1.000E+00
2.918E+03,9.878E-01,2.038E-04,1.000E+00,9.422E-06,1.000E+00
2.919E+03,1.000E+00,1.995E-04,1.000E+00,9.235E-06,1.000E+00
2.920E+03,1.003E+00,1.953E-04,1.000E+00,9.054E-06,1.000E+00
2.921E+03,9.957E-01,1.913E-04,1.000E+00,8.877E-06,1.000E+00
2.922E+03,1.012E+00,1.874E-04,1.000E+00,8.706E-06,1.000E+00
