Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Sum of components (normalized)
2896.98,1.007E+00,6.066E-04,1.000E+00,1.001E+00
2897.98,9.808E-01,5.903E-04,1.000E+00,1.001E+00
2898.98,1.007E+00,5.747E-04,1.000E+00,1.001E+00
2899.97,9.916E-01,5.598E-04,1.000E+00,1.001E+00
2900.98,1.001E+00,5.452E-04,1.000E+00,1.001E+00
2901.98,9.973E-01,5.313E-04,1.000E+00,1.001E+00
2902.98,9.748E-01,5.179E-04,1.000E+00,1.001E+00
2903.98,9.889E-01,5.051E-04,1.000E+00,1.001E+00
2904.98,9.930E-01,4.927E-04,1.000E+00,1.000E+00
2905.98,1.002E+00,4.807E-04,1.000E+00,1.000E+00
2906.97,9.900E-01,4.693E-04,1.000E+00,1.000E+00
2907.97,9.608E-01,4.582E-04,1.000E+00,1.000E+00
2908.97,9.847E-01,4.475E-04,1.000E+00,1.000E+00
2909.97,9.691E-01,4.371E-04,1.000E+00,1.000E+00
2910.98,9.961E-01,4.270E-04,1.000E+00,1.000E+00
2911.97,9.956E-01,4.175E-04,1.000E+00,1.000E+00
2912.98,9.664E-01,4.080E-04,1.000E+00,1.000E+00
2913.98,9.901E-01,3.990E-04,1.000E+00,1.000E+00
2914.97,9.791E-01,3.904E-04,1.000E+00,1.000E+00
2915.98,9.901E-01,3.818E-04,1.000E+00,1.000E+00
2916.97,9.971E-01,3.737E-04,1.000E+00,1.000E+00
2917.97,9.723E-01,3.658E-04,1.000E+00,1.000E+00
2918.97,9.811E-01,3.582E-04,1.000E+00,1.000E+00
2919.97,9.659E-01,3.507E-04,1.000E+00,1.000E+00
2920.98,1.022E+00,3.435E-04,1.000E+00,1.000E+00
2921.98,9.903E-01,3.365E-04,1.000E+00,1.000E+00
